,pattern,sum_diffs,match_1_piece_title,match_2_piece_title,match_1_part,match_2_part,match_1_start_measure,match_2_start_measure,match_1_end_measure,match_2_end_measure
33,"(-4, 2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Altus,Bassus,145,140,146,141
37,"(-3, -2, -2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Gloria,Tenor,Altus,25,32,26,33
43,"(-3, -2, -2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Gloria,Tenor,Bassus,25,40,26,42
84,"(-3, -2, -2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Altus,Bassus,32,40,33,42
202,"(-3, -2, -2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Sanctus,Tenor,Tenor,133,71,133,72
238,"(-3, -2, -2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Altus,Bassus,102,112,103,113
286,"(-3, -2, -2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Agnus Dei,Missa Ave Maria: Agnus Dei,Altus,Bassus,28,19,30,21
289,"(-3, -2, 2, 2, -3, 2, -3)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Altus,Altus,155,157,157,159
290,"(-3, -2, 2, 2, -3, 2, -3)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Altus,Tenor,155,155,157,157
294,"(-3, -2, 2, 2, -3, 2, -3)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Altus,Tenor,157,155,159,157
306,"(-3, -2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Credo,Sup[erius],Sup[erius],139,55,141,57
319,"(-3, -2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Tenor,Tenor,121,129,123,131
326,"(-3, -2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Sanctus,Tenor,Sup[erius],121,126,123,127
329,"(-3, -2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Agnus Dei,Tenor,Sup[erius],121,11,123,13
339,"(-3, -2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Sanctus,Tenor,Sup[erius],129,126,131,127
342,"(-3, -2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Agnus Dei,Tenor,Sup[erius],129,11,131,13
360,"(-3, -2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Sup[erius],Altus,143,145,145,147
376,"(-3, -2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Agnus Dei,Sup[erius],Sup[erius],148,59,150,61
405,"(-3, -2, 2, 2, 2, -2, -2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Agnus Dei,Sup[erius],Sup[erius],126,11,127,13
424,"(-3, -2, 2, 2, 2, 2, -2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Sup[erius],Sup[erius],45,52,47,54
508,"(-3, -2, 2, 2, 2, 2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Sup[erius],Bassus,149,28,151,30
524,"(-3, -2, 2, 2, 2, 2, -2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Altus,Bassus,102,112,104,114
530,"(-3, -2, 2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Altus,Bassus,78,74,79,75
543,"(-3, -2, 2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Gloria,Tenor,Altus,25,32,26,33
545,"(-3, -2, 2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Gloria,Tenor,Bassus,25,41,26,42
566,"(-3, -2, 2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Gloria,Missa Ave Maria: Gloria,Altus,Bassus,32,41,33,42
594,"(-3, -2, 2, 2, 2, 2, 2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Sanctus,Tenor,Tenor,133,71,134,72
641,"(-3, -2, 5, -2, 2, -3, -2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Tenor,Bassus,33,16,35,18
642,"(-3, -2, 5, -2, 2, -3, -2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Tenor,Bassus,33,20,35,22
645,"(-3, -2, 5, -2, 2, -3, -2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Bassus,Bassus,16,20,18,22
654,"(-3, -2, 8, -2, -2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Sup[erius],Bassus,265,267,267,269
656,"(-3, -2, 8, -2, -2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Altus,264,267,266,269
657,"(-3, -2, 8, -2, -2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Bassus,264,264,266,266
