,pattern,sum_diffs,match_1_piece_title,match_2_piece_title,match_1_part,match_2_part,match_1_start_measure,match_2_start_measure,match_1_end_measure,match_2_end_measure
0,"(-5, 2, 2, -2, -2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Sup[erius],Sup[erius],84,91,85,92
6,"(-5, 2, 2, 2, 2)",0.0,Missa Ave Maria: Credo,Missa Ave Maria: Credo,Altus,Tenor,239,182,239,182
15,"(-5, 2, 2, 2, 2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Sup[erius],Bassus,132,32,133,33
16,"(-5, 2, 2, 2, 2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Agnus Dei,Sup[erius],Sup[erius],132,85,133,86
18,"(-5, 2, 2, 2, 2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Agnus Dei,Bassus,Sup[erius],32,85,33,86
21,"(-3, -2, -2, -2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Sup[erius],Altus,17,14,18,15
22,"(-3, -2, -2, -2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Sup[erius],Tenor,17,12,18,13
24,"(-3, -2, -2, -2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Altus,Tenor,14,12,15,13
27,"(-3, -2, 2, 2, 2)",0.9166666666666667,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Altus,Altus,54,78,55,79
28,"(-3, -2, 2, 2, 2)",0.9166666666666667,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Altus,Bassus,54,74,55,75
31,"(-3, -2, 2, 2, 2)",1.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Sanctus,Altus,Altus,54,120,55,121
35,"(-3, -2, 2, 2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Altus,Bassus,78,74,79,75
36,"(-3, -2, 2, 2, 2)",1.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Gloria,Altus,Bassus,78,69,79,70
42,"(-3, -2, 2, 2, 2)",1.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Gloria,Bassus,Bassus,74,69,75,70
49,"(-3, -2, 2, 2, 2)",0.9166666666666667,Missa Ave Maria: Gloria,Missa Ave Maria: Sanctus,Bassus,Altus,69,120,70,121
53,"(-3, -2, 2, 2, 2)",0.25,Missa Ave Maria: Credo,Missa Ave Maria: Sanctus,Bassus,Altus,230,120,231,121
64,"(-3, -2, 4, 2, 2)",0.0,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Sup[erius],Tenor,91,83,94,86
65,"(-3, -2, 4, 2, 2)",0.25,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Sup[erius],Tenor,91,89,94,92
66,"(-3, -2, 4, 2, 2)",0.0,Missa Ave Maria: Kyrie,Ave Maria,Sup[erius],[Superius],91,25,94,28
70,"(-3, -2, 4, 2, 2)",0.25,Missa Ave Maria: Kyrie,Missa Ave Maria: Kyrie,Tenor,Tenor,83,89,86,92
71,"(-3, -2, 4, 2, 2)",0.0,Missa Ave Maria: Kyrie,Ave Maria,Tenor,[Superius],83,25,86,28
72,"(-3, -2, 4, 2, 2)",0.25,Missa Ave Maria: Kyrie,Ave Maria,Tenor,[Superius],89,25,92,28
73,"(-3, -2, 5, -2, 2)",0.0,Missa Ave Maria: Sanctus,Missa Ave Maria: Sanctus,Tenor,Bassus,33,16,35,18
