,piece_title,group_number,pattern_generating_match,pattern_matched,part,start_measure,start_beat,start_offset,entry_number,offset_diffs,predicted_type
63,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",Altus,94,3.0,752.0,6,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
64,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",Altus,98,3.0,800.0,7,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
65,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",Altus,105,3.0,884.0,8,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
66,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",Altus,116,2.0,986.0,9,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
67,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",Altus,124,2.0,1050.0,10,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
68,Ave Maria,25,"(2, -2, -2, -2, -2)","(2, -2, -2, -2, -2)",Altus,135,3.0,1132.0,11,"[0.0, 216.0, 44.0, 86.0, 82.0, 48.0, 84.0, 102.0, 64.0, 82.0]",Fuga
180,Ave Maria,26,"(2, -2, -2, -2, 1)","(2, -2, -2, -2, 1)",[Superius],112,1.0,952.0,1,"[28.0, 36.0, 28.0]",ID
182,Ave Maria,26,"(2, -2, -2, -2, 1)","(2, -2, -2, -2, 1)",Tenor,115,3.0,980.0,2,"[28.0, 36.0, 28.0]",ID
181,Ave Maria,26,"(2, -2, -2, -2, 1)","(2, -2, -2, -2, 1)",[Superius],120,1.0,1016.0,3,"[28.0, 36.0, 28.0]",ID
183,Ave Maria,26,"(2, -2, -2, -2, 1)","(2, -2, -2, -2, 1)",Tenor,123,3.0,1044.0,4,"[28.0, 36.0, 28.0]",ID
108,Ave Maria,27,"(2, -2, -2, -2, 2)","(2, -2, -2, -2, 2)",[Superius],50,3.0,396.0,1,"[8.0, 320.0, 448.0]",Fuga
109,Ave Maria,27,"(2, -2, -2, -2, 2)","(2, -2, -2, -2, 2)",[Superius],51,3.0,404.0,2,"[8.0, 320.0, 448.0]",Fuga
110,Ave Maria,27,"(2, -2, -2, -2, 2)","(2, -2, -2, -2, 2)",Tenor,91,3.0,724.0,3,"[8.0, 320.0, 448.0]",Fuga
111,Ave Maria,27,"(2, -2, -2, -2, 2)","(2, -2, -2, -2, 2)",Bassus,139,3.0,1172.0,4,"[8.0, 320.0, 448.0]",Fuga
32,Ave Maria,28,"(2, -2, 1, -2, 2)","(2, -2, 1, -2, 2)",[Superius],33,3.0,260.0,1,"[28.0, 4.0, 336.0, 24.0, 516.0]",Fuga
33,Ave Maria,28,"(2, -2, 1, -2, 2)","(2, -2, 1, -2, 2)",Altus,37,1.0,288.0,2,"[28.0, 4.0, 336.0, 24.0, 516.0]",Fuga
36,Ave Maria,28,"(2, -2, 1, -2, 2)","(2, -2, 1, -2, 2)",Tenor,37,3.0,292.0,3,"[28.0, 4.0, 336.0, 24.0, 516.0]",Fuga
34,Ave Maria,28,"(2, -2, 1, -2, 2)","(2, -2, 1, -2, 2)",Altus,79,3.0,628.0,4,"[28.0, 4.0, 336.0, 24.0, 516.0]",Fuga
37,Ave Maria,28,"(2, -2, 1, -2, 2)","(2, -2, 1, -2, 2)",Bassus,82,3.0,652.0,5,"[28.0, 4.0, 336.0, 24.0, 516.0]",Fuga
35,Ave Maria,28,"(2, -2, 1, -2, 2)","(2, -2, 1, -2, 2)",Altus,139,1.0,1168.0,6,"[28.0, 4.0, 336.0, 24.0, 516.0]",Fuga
217,Ave Maria,29,"(2, -2, 2, -3, 2)","(2, -2, 2, -3, 2)",Bassus,49,3.0,388.0,1,"[2.0, 8.0, 2.0]",ID
215,Ave Maria,29,"(2, -2, 2, -3, 2)","(2, -2, 2, -3, 2)",Tenor,49,4.0,390.0,2,"[2.0, 8.0, 2.0]",ID
218,Ave Maria,29,"(2, -2, 2, -3, 2)","(2, -2, 2, -3, 2)",Bassus,50,4.0,398.0,3,"[2.0, 8.0, 2.0]",ID
216,Ave Maria,29,"(2, -2, 2, -3, 2)","(2, -2, 2, -3, 2)",Tenor,51,1.0,400.0,4,"[2.0, 8.0, 2.0]",ID
211,Ave Maria,30,"(2, 1, 2, -2, -2)","(2, 1, 2, -2, -2)",Altus,32,3.0,252.0,1,"[32.0, 696.0, 64.0]",Fuga
214,Ave Maria,30,"(2, 1, 2, -2, -2)","(2, 1, 2, -2, -2)",Bassus,36,3.0,284.0,2,"[32.0, 696.0, 64.0]",Fuga
212,Ave Maria,30,"(2, 1, 2, -2, -2)","(2, 1, 2, -2, -2)",Altus,116,3.0,980.0,3,"[32.0, 696.0, 64.0]",Fuga
213,Ave Maria,30,"(2, 1, 2, -2, -2)","(2, 1, 2, -2, -2)",Altus,124,3.0,1044.0,4,"[32.0, 696.0, 64.0]",Fuga
172,Ave Maria,31,"(2, 1, 2, 1, -3)","(2, 1, 2, 1, -3)",[Superius],94,3.0,752.0,1,"[8.0, 40.0, 8.0]",ID
174,Ave Maria,31,"(2, 1, 2, 1, -3)","(2, 1, 2, 1, -3)",Tenor,95,2.0,760.0,2,"[8.0, 40.0, 8.0]",ID
173,Ave Maria,31,"(2, 1, 2, 1, -3)","(2, 1, 2, 1, -3)",[Superius],98,3.0,800.0,3,"[8.0, 40.0, 8.0]",ID
175,Ave Maria,31,"(2, 1, 2, 1, -3)","(2, 1, 2, 1, -3)",Tenor,99,2.0,808.0,4,"[8.0, 40.0, 8.0]",ID
13,Ave Maria,32,"(2, 2, -3, -2, -2)","(2, 2, -3, -2, -2)",[Superius],17,3.0,132.0,1,"[306.0, 4.0, 36.0, 4.0]",Fuga
14,Ave Maria,32,"(2, 2, -3, -2, -2)","(2, 2, -3, -2, -2)",[Superius],55,4.0,438.0,2,"[306.0, 4.0, 36.0, 4.0]",Fuga
15,Ave Maria,32,"(2, 2, -3, -2, -2)","(2, 2, -3, -2, -2)",Altus,56,2.0,442.0,3,"[306.0, 4.0, 36.0, 4.0]",Fuga
16,Ave Maria,32,"(2, 2, -3, -2, -2)","(2, 2, -3, -2, -2)",Tenor,60,4.0,478.0,4,"[306.0, 4.0, 36.0, 4.0]",Fuga
17,Ave Maria,32,"(2, 2, -3, -2, -2)","(2, 2, -3, -2, -2)",Bassus,61,2.0,482.0,5,"[306.0, 4.0, 36.0, 4.0]",Fuga
89,Ave Maria,33,"(2, 2, -3, 2, 2)","(2, 2, -3, 2, 2)",Tenor,44,4.0,350.0,1,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
91,Ave Maria,33,"(2, 2, -3, 2, 2)","(2, 2, -3, 2, 2)",Bassus,45,1.0,352.0,2,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
87,Ave Maria,33,"(2, 2, -3, 2, 2)","(2, 2, -3, 2, 2)",[Superius],45,1.0,352.0,3,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
90,Ave Maria,33,"(2, 2, -3, 2, 2)","(2, 2, -3, 2, 2)",Tenor,46,4.0,366.0,4,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
92,Ave Maria,33,"(2, 2, -3, 2, 2)","(2, 2, -3, 2, 2)",Bassus,47,1.0,368.0,5,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
88,Ave Maria,33,"(2, 2, -3, 2, 2)","(2, 2, -3, 2, 2)",[Superius],47,1.0,368.0,6,"[2.0, 0.0, 14.0, 2.0, 0.0]",Fuga
104,Ave Maria,34,"(2, 2, -2, -2, -2)","(2, 2, -2, -2, -2)",[Superius],50,2.5,395.0,1,"[8.0, 320.0, 407.0]",Fuga
105,Ave Maria,34,"(2, 2, -2, -2, -2)","(2, 2, -2, -2, -2)",[Superius],51,2.5,403.0,2,"[8.0, 320.0, 407.0]",Fuga
107,Ave Maria,34,"(2, 2, -2, -2, -2)","(2, 2, -2, -2, -2)",Tenor,91,2.5,723.0,3,"[8.0, 320.0, 407.0]",Fuga
106,Ave Maria,34,"(2, 2, -2, -2, -2)","(2, 2, -2, -2, -2)",Altus,134,2.0,1130.0,4,"[8.0, 320.0, 407.0]",Fuga
22,Ave Maria,35,"(2, 2, 1, 2, -2)","(2, 2, 1, 2, -2)",[Superius],32,1.0,248.0,1,"[0.0, 32.0, 0.0, 696.0, 64.0]",Fuga
23,Ave Maria,35,"(2, 2, 1, 2, -2)","(2, 2, 1, 2, -2)",Altus,32,1.0,248.0,2,"[0.0, 32.0, 0.0, 696.0, 64.0]",Fuga
27,Ave Maria,35,"(2, 2, 1, 2, -2)","(2, 2, 1, 2, -2)",Bassus,36,1.0,280.0,3,"[0.0, 32.0, 0.0, 696.0, 64.0]",Fuga
26,Ave Maria,35,"(2, 2, 1, 2, -2)","(2, 2, 1, 2, -2)",Tenor,36,1.0,280.0,4,"[0.0, 32.0, 0.0, 696.0, 64.0]",Fuga
24,Ave Maria,35,"(2, 2, 1, 2, -2)","(2, 2, 1, 2, -2)",Altus,115,1.0,976.0,5,"[0.0, 32.0, 0.0, 696.0, 64.0]",Fuga
25,Ave Maria,35,"(2, 2, 1, 2, -2)","(2, 2, 1, 2, -2)",Altus,123,1.0,1040.0,6,"[0.0, 32.0, 0.0, 696.0, 64.0]",Fuga
81,Ave Maria,36,"(2, 2, 2, -3, 2)","(2, 2, 2, -3, 2)",[Superius],44,3.0,348.0,1,"[0.0, 2.0, 12.0, 2.0, 2.0]",Fuga
83,Ave Maria,36,"(2, 2, 2, -3, 2)","(2, 2, 2, -3, 2)",Tenor,44,3.0,348.0,2,"[0.0, 2.0, 12.0, 2.0, 2.0]",Fuga
85,Ave Maria,36,"(2, 2, 2, -3, 2)","(2, 2, 2, -3, 2)",Bassus,44,4.0,350.0,3,"[0.0, 2.0, 12.0, 2.0, 2.0]",Fuga
84,Ave Maria,36,"(2, 2, 2, -3, 2)","(2, 2, 2, -3, 2)",Tenor,46,2.0,362.0,4,"[0.0, 2.0, 12.0, 2.0, 2.0]",Fuga
82,Ave Maria,36,"(2, 2, 2, -3, 2)","(2, 2, 2, -3, 2)",[Superius],46,3.0,364.0,5,"[0.0, 2.0, 12.0, 2.0, 2.0]",Fuga
86,Ave Maria,36,"(2, 2, 2, -3, 2)","(2, 2, 2, -3, 2)",Bassus,46,4.0,366.0,6,"[0.0, 2.0, 12.0, 2.0, 2.0]",Fuga
99,Ave Maria,37,"(2, 2, 2, -2, 2)","(2, 2, 2, -2, 2)",[Superius],48,3.0,380.0,1,"[2.0, 0.0, 690.0, 20.0]",Fuga
101,Ave Maria,37,"(2, 2, 2, -2, 2)","(2, 2, 2, -2, 2)",Tenor,48,4.0,382.0,2,"[2.0, 0.0, 690.0, 20.0]",Fuga
103,Ave Maria,37,"(2, 2, 2, -2, 2)","(2, 2, 2, -2, 2)",Bassus,48,4.0,382.0,3,"[2.0, 0.0, 690.0, 20.0]",Fuga
100,Ave Maria,37,"(2, 2, 2, -2, 2)","(2, 2, 2, -2, 2)",[Superius],127,1.0,1072.0,4,"[2.0, 0.0, 690.0, 20.0]",Fuga
102,Ave Maria,37,"(2, 2, 2, -2, 2)","(2, 2, 2, -2, 2)",Tenor,129,3.0,1092.0,5,"[2.0, 0.0, 690.0, 20.0]",Fuga
200,Ave Maria,38,"(3, -2, -2, -2, -2)","(3, -2, -2, -2, -2)",[Superius],114,1.0,968.0,1,"[28.0, 36.0, 28.0]",ID
202,Ave Maria,38,"(3, -2, -2, -2, -2)","(3, -2, -2, -2, -2)",Tenor,117,3.0,996.0,2,"[28.0, 36.0, 28.0]",ID
201,Ave Maria,38,"(3, -2, -2, -2, -2)","(3, -2, -2, -2, -2)",[Superius],122,1.0,1032.0,3,"[28.0, 36.0, 28.0]",ID
203,Ave Maria,38,"(3, -2, -2, -2, -2)","(3, -2, -2, -2, -2)",Tenor,125,3.0,1060.0,4,"[28.0, 36.0, 28.0]",ID
125,Ave Maria,39,"(4, -2, 2, 2, -3)","(4, -2, 2, 2, -3)",[Superius],54,3.0,428.0,1,"[4.0, 36.0, 4.0]",ID
126,Ave Maria,39,"(4, -2, 2, 2, -3)","(4, -2, 2, 2, -3)",Altus,55,1.0,432.0,2,"[4.0, 36.0, 4.0]",ID
127,Ave Maria,39,"(4, -2, 2, 2, -3)","(4, -2, 2, 2, -3)",Tenor,59,3.0,468.0,3,"[4.0, 36.0, 4.0]",ID
128,Ave Maria,39,"(4, -2, 2, 2, -3)","(4, -2, 2, 2, -3)",Bassus,60,1.0,472.0,4,"[4.0, 36.0, 4.0]",ID
0,Ave Maria,40,"(4, 1, 2, 2, -3)","(4, 1, 2, 2, -3)",[Superius],1,1.0,0.0,1,"[16.0, 16.0, 16.0, 836.0]",Fuga
2,Ave Maria,40,"(4, 1, 2, 2, -3)","(4, 1, 2, 2, -3)",Altus,3,1.0,16.0,2,"[16.0, 16.0, 16.0, 836.0]",Fuga
3,Ave Maria,40,"(4, 1, 2, 2, -3)","(4, 1, 2, 2, -3)",Tenor,5,1.0,32.0,3,"[16.0, 16.0, 16.0, 836.0]",Fuga
4,Ave Maria,40,"(4, 1, 2, 2, -3)","(4, 1, 2, 2, -3)",Bassus,7,1.0,48.0,4,"[16.0, 16.0, 16.0, 836.0]",Fuga
1,Ave Maria,40,"(4, 1, 2, 2, -3)","(4, 1, 2, 2, -3)",[Superius],105,3.0,884.0,5,"[16.0, 16.0, 16.0, 836.0]",Fuga
