,piece_title,group_number,pattern_generating_match,pattern_matched,part,start_measure,start_beat,start_offset,entry_number,offset_diffs,predicted_type
206,Ave Maria,6,"(-2, -2, -2, -2, 2)","(-2, -2, -2, -2, 2)",Altus,84,1.0,664.0,4,"[7.0, 325.0, 120.0, 428.0, 14.0, 28.0]",Fuga
210,Ave Maria,6,"(-2, -2, -2, -2, 2)","(-2, -2, -2, -2, 2)",Bassus,129,3.0,1092.0,5,"[7.0, 325.0, 120.0, 428.0, 14.0, 28.0]",Fuga
207,Ave Maria,6,"(-2, -2, -2, -2, 2)","(-2, -2, -2, -2, 2)",Altus,131,2.0,1106.0,6,"[7.0, 325.0, 120.0, 428.0, 14.0, 28.0]",Fuga
208,Ave Maria,6,"(-2, -2, -2, -2, 2)","(-2, -2, -2, -2, 2)",Altus,135,4.0,1134.0,7,"[7.0, 325.0, 120.0, 428.0, 14.0, 28.0]",Fuga
184,Ave Maria,7,"(-2, -2, -2, 1, 3)","(-2, -2, -2, 1, 3)",[Superius],113,3.0,956.0,1,"[28.0, 36.0, 28.0]",ID
186,Ave Maria,7,"(-2, -2, -2, 1, 3)","(-2, -2, -2, 1, 3)",Tenor,116,1.0,984.0,2,"[28.0, 36.0, 28.0]",ID
185,Ave Maria,7,"(-2, -2, -2, 1, 3)","(-2, -2, -2, 1, 3)",[Superius],121,3.0,1020.0,3,"[28.0, 36.0, 28.0]",ID
187,Ave Maria,7,"(-2, -2, -2, 1, 3)","(-2, -2, -2, 1, 3)",Tenor,124,1.0,1048.0,4,"[28.0, 36.0, 28.0]",ID
5,Ave Maria,8,"(-2, -2, -2, 2, -2)","(-2, -2, -2, 2, -2)",[Superius],8,1.0,56.0,1,"[16.0, 16.0, 1086.0]",Fuga
6,Ave Maria,8,"(-2, -2, -2, 2, -2)","(-2, -2, -2, 2, -2)",Altus,10,1.0,72.0,2,"[16.0, 16.0, 1086.0]",Fuga
7,Ave Maria,8,"(-2, -2, -2, 2, -2)","(-2, -2, -2, 2, -2)",Tenor,12,1.0,88.0,3,"[16.0, 16.0, 1086.0]",Fuga
8,Ave Maria,8,"(-2, -2, -2, 2, -2)","(-2, -2, -2, 2, -2)",Bassus,139,4.0,1174.0,4,"[16.0, 16.0, 1086.0]",Fuga
117,Ave Maria,9,"(-2, -2, -2, 2, 2)","(-2, -2, -2, 2, 2)",Bassus,14,1.0,104.0,1,"[111.0, 5.0, 178.0, 149.0, 165.0, 384.0, 66.0]",Fuga
113,Ave Maria,9,"(-2, -2, -2, 2, 2)","(-2, -2, -2, 2, 2)",Altus,27,4.5,215.0,2,"[111.0, 5.0, 178.0, 149.0, 165.0, 384.0, 66.0]",Fuga
115,Ave Maria,9,"(-2, -2, -2, 2, 2)","(-2, -2, -2, 2, 2)",Tenor,28,3.0,220.0,3,"[111.0, 5.0, 178.0, 149.0, 165.0, 384.0, 66.0]",Fuga
112,Ave Maria,9,"(-2, -2, -2, 2, 2)","(-2, -2, -2, 2, 2)",[Superius],50,4.0,398.0,4,"[111.0, 5.0, 178.0, 149.0, 165.0, 384.0, 66.0]",Fuga
114,Ave Maria,9,"(-2, -2, -2, 2, 2)","(-2, -2, -2, 2, 2)",Altus,69,2.5,547.0,5,"[111.0, 5.0, 178.0, 149.0, 165.0, 384.0, 66.0]",Fuga
116,Ave Maria,9,"(-2, -2, -2, 2, 2)","(-2, -2, -2, 2, 2)",Tenor,90,1.0,712.0,6,"[111.0, 5.0, 178.0, 149.0, 165.0, 384.0, 66.0]",Fuga
118,Ave Maria,9,"(-2, -2, -2, 2, 2)","(-2, -2, -2, 2, 2)",Bassus,130,1.0,1096.0,7,"[111.0, 5.0, 178.0, 149.0, 165.0, 384.0, 66.0]",Fuga
119,Ave Maria,9,"(-2, -2, -2, 2, 2)","(-2, -2, -2, 2, 2)",Bassus,138,2.0,1162.0,8,"[111.0, 5.0, 178.0, 149.0, 165.0, 384.0, 66.0]",Fuga
188,Ave Maria,10,"(-2, -2, 1, 3, -2)","(-2, -2, 1, 3, -2)",[Superius],113,2.0,962.0,1,"[28.0, 36.0, 28.0]",ID
190,Ave Maria,10,"(-2, -2, 1, 3, -2)","(-2, -2, 1, 3, -2)",Tenor,116,4.0,990.0,2,"[28.0, 36.0, 28.0]",ID
189,Ave Maria,10,"(-2, -2, 1, 3, -2)","(-2, -2, 1, 3, -2)",[Superius],121,2.0,1026.0,3,"[28.0, 36.0, 28.0]",ID
191,Ave Maria,10,"(-2, -2, 1, 3, -2)","(-2, -2, 1, 3, -2)",Tenor,124,4.0,1054.0,4,"[28.0, 36.0, 28.0]",ID
121,Ave Maria,11,"(-2, -2, 2, 2, -2)","(-2, -2, 2, 2, -2)",Tenor,28,3.5,221.0,1,"[180.0, 315.0, 276.0, 64.0]",Fuga
120,Ave Maria,11,"(-2, -2, 2, 2, -2)","(-2, -2, 2, 2, -2)",[Superius],51,1.5,401.0,2,"[180.0, 315.0, 276.0, 64.0]",Fuga
122,Ave Maria,11,"(-2, -2, 2, 2, -2)","(-2, -2, 2, 2, -2)",Tenor,90,3.0,716.0,3,"[180.0, 315.0, 276.0, 64.0]",Fuga
