,pattern_generating_match,pattern_matched,piece_title,part,start_measure,start_beat,start_offset,sub_group_id,predicted_type,offset_diffs,entry_number
157,"(-3, 2, -2, -2, -2)","[-3, 2, -2, -2, -2]",Ave Maria,[Superius],79,1.0,624.0,14.0,Fuga,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0]",6
161,"(-3, 2, -2, -2, -2)","[-3, 2, -2, -2, -2]",Ave Maria,Tenor,82,1.0,648.0,14.0,Fuga,"[16.0, 8.0, 16.0, 22.0, 42.0, 24.0]",7
144,"(-3, 2, -3, 2, -2)","[-3, 2, -3, 2, -2]",Ave Maria,[Superius],65,1.0,512.0,15.0,ID,"[16.0, 8.0, 16.0]",1
145,"(-3, 2, -3, 2, -2)","[-3, 2, -3, 2, -2]",Ave Maria,Altus,67,1.0,528.0,15.0,ID,"[16.0, 8.0, 16.0]",2
146,"(-3, 2, -3, 2, -2)","[-3, 2, -3, 2, -2]",Ave Maria,Tenor,68,1.0,536.0,15.0,ID,"[16.0, 8.0, 16.0]",3
147,"(-3, 2, -3, 2, -2)","[-3, 2, -3, 2, -2]",Ave Maria,Bassus,70,1.0,552.0,15.0,ID,"[16.0, 8.0, 16.0]",4
75,"(-3, 2, 2, 2, -3)","[-3, 2, 2, 2, -3]",Ave Maria,[Superius],44,1.0,344.0,16.0,Fuga,"[14.0, 2.0]",1
78,"(-3, 2, 2, 2, -3)","[-3, 2, 2, 2, -3]",Ave Maria,Tenor,45,4.0,358.0,16.0,Fuga,"[14.0, 2.0]",2
76,"(-3, 2, 2, 2, -3)","[-3, 2, 2, 2, -3]",Ave Maria,[Superius],46,1.0,360.0,16.0,Fuga,"[14.0, 2.0]",3
42,"(1, 1, 2, -2, -2)","[1, 1, 2, -2, -2]",Ave Maria,Altus,94,1.0,744.0,18.0,Fuga,[48.0],1
43,"(1, 1, 2, -2, -2)","[1, 1, 2, -2, -2]",Ave Maria,Altus,98,1.0,792.0,18.0,Fuga,[48.0],2
40,"(1, 1, 2, -2, -2)","[1, 1, 2, -2, -2]",Ave Maria,[Superius],111,3.0,940.0,19.0,ID,"[28.0, 36.0, 28.0]",1
45,"(1, 1, 2, -2, -2)","[1, 1, 2, -2, -2]",Ave Maria,Tenor,114,1.0,968.0,19.0,ID,"[28.0, 36.0, 28.0]",2
41,"(1, 1, 2, -2, -2)","[1, 1, 2, -2, -2]",Ave Maria,[Superius],119,3.0,1004.0,19.0,ID,"[28.0, 36.0, 28.0]",3
46,"(1, 1, 2, -2, -2)","[1, 1, 2, -2, -2]",Ave Maria,Tenor,122,1.0,1032.0,19.0,ID,"[28.0, 36.0, 28.0]",4
164,"(1, 1, 2, 1, 2)","[1, 1, 2, 1, 2]",Ave Maria,[Superius],94,1.0,744.0,20.0,ID,"[8.0, 40.0, 8.0]",1
166,"(1, 1, 2, 1, 2)","[1, 1, 2, 1, 2]",Ave Maria,Tenor,94,3.0,752.0,20.0,ID,"[8.0, 40.0, 8.0]",2
165,"(1, 1, 2, 1, 2)","[1, 1, 2, 1, 2]",Ave Maria,[Superius],98,1.0,792.0,20.0,ID,"[8.0, 40.0, 8.0]",3
167,"(1, 1, 2, 1, 2)","[1, 1, 2, 1, 2]",Ave Maria,Tenor,98,3.0,800.0,20.0,ID,"[8.0, 40.0, 8.0]",4
9,"(1, 1, 2, 2, -3)","[1, 1, 2, 2, -3]",Ave Maria,[Superius],16,3.0,124.0,21.0,PEN,"[16.0, 16.0, 16.0]",1
10,"(1, 1, 2, 2, -3)","[1, 1, 2, 2, -3]",Ave Maria,Altus,18,3.0,140.0,21.0,PEN,"[16.0, 16.0, 16.0]",2
11,"(1, 1, 2, 2, -3)","[1, 1, 2, 2, -3]",Ave Maria,Tenor,20,3.0,156.0,21.0,PEN,"[16.0, 16.0, 16.0]",3
12,"(1, 1, 2, 2, -3)","[1, 1, 2, 2, -3]",Ave Maria,Bassus,22,3.0,172.0,21.0,PEN,"[16.0, 16.0, 16.0]",4
51,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,Altus,33,1.0,256.0,22.0,PEN,"[32.0, 32.0]",1
59,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,Bassus,37,1.0,288.0,22.0,PEN,"[32.0, 32.0]",2
47,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,[Superius],41,1.0,320.0,22.0,PEN,"[32.0, 32.0]",3
52,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,Altus,94,2.0,748.0,23.0,Fuga,[48.0],1
53,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,Altus,98,2.0,796.0,23.0,Fuga,[48.0],2
49,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,[Superius],112,3.0,948.0,24.0,Fuga,"[28.0, 6.0, 30.0, 28.0, 6.0]",1
57,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,Tenor,115,1.0,976.0,24.0,Fuga,"[28.0, 6.0, 30.0, 28.0, 6.0]",2
54,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,Altus,116,4.0,982.0,24.0,Fuga,"[28.0, 6.0, 30.0, 28.0, 6.0]",3
50,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,[Superius],120,3.0,1012.0,24.0,Fuga,"[28.0, 6.0, 30.0, 28.0, 6.0]",4
58,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,Tenor,123,1.0,1040.0,24.0,Fuga,"[28.0, 6.0, 30.0, 28.0, 6.0]",5
55,"(1, 2, -2, -2, -2)","[1, 2, -2, -2, -2]",Ave Maria,Altus,124,4.0,1046.0,24.0,Fuga,"[28.0, 6.0, 30.0, 28.0, 6.0]",6
28,"(1, 2, -2, 1, -2)","[1, 2, -2, 1, -2]",Ave Maria,[Superius],33,1.0,256.0,25.0,Fuga,[32.0],1
30,"(1, 2, -2, 1, -2)","[1, 2, -2, 1, -2]",Ave Maria,Tenor,37,1.0,288.0,25.0,Fuga,[32.0],2
29,"(1, 2, -2, 1, -2)","[1, 2, -2, 1, -2]",Ave Maria,Altus,79,1.0,624.0,26.0,Fuga,[24.0],1
31,"(1, 2, -2, 1, -2)","[1, 2, -2, 1, -2]",Ave Maria,Bassus,82,1.0,648.0,26.0,Fuga,[24.0],2
168,"(1, 2, 1, 2, 1)","[1, 2, 1, 2, 1]",Ave Maria,[Superius],94,2.0,748.0,27.0,ID,"[8.0, 40.0, 8.0]",1
170,"(1, 2, 1, 2, 1)","[1, 2, 1, 2, 1]",Ave Maria,Tenor,94,1.0,756.0,27.0,ID,"[8.0, 40.0, 8.0]",2
169,"(1, 2, 1, 2, 1)","[1, 2, 1, 2, 1]",Ave Maria,[Superius],98,2.0,796.0,27.0,ID,"[8.0, 40.0, 8.0]",3
171,"(1, 2, 1, 2, 1)","[1, 2, 1, 2, 1]",Ave Maria,Tenor,98,1.0,804.0,27.0,ID,"[8.0, 40.0, 8.0]",4
196,"(1, 3, -2, -2, -2)","[1, 3, -2, -2, -2]",Ave Maria,[Superius],114,3.0,964.0,28.0,ID,"[28.0, 36.0, 28.0]",1
198,"(1, 3, -2, -2, -2)","[1, 3, -2, -2, -2]",Ave Maria,Tenor,117,1.0,992.0,28.0,ID,"[28.0, 36.0, 28.0]",2
197,"(1, 3, -2, -2, -2)","[1, 3, -2, -2, -2]",Ave Maria,[Superius],122,3.0,1028.0,28.0,ID,"[28.0, 36.0, 28.0]",3
199,"(1, 3, -2, -2, -2)","[1, 3, -2, -2, -2]",Ave Maria,Tenor,125,1.0,1056.0,28.0,ID,"[28.0, 36.0, 28.0]",4
62,"(2, -2, -2, -2, -2)","[2, -2, -2, -2, -2]",Ave Maria,Altus,68,3.0,540.0,30.0,Fuga,[44.0],1
70,"(2, -2, -2, -2, -2)","[2, -2, -2, -2, -2]",Ave Maria,Tenor,74,1.0,584.0,30.0,Fuga,[44.0],2
63,"(2, -2, -2, -2, -2)","[2, -2, -2, -2, -2]",Ave Maria,Altus,94,3.0,752.0,31.0,Fuga,[48.0],1
64,"(2, -2, -2, -2, -2)","[2, -2, -2, -2, -2]",Ave Maria,Altus,98,3.0,800.0,31.0,Fuga,[48.0],2
180,"(2, -2, -2, -2, 1)","[2, -2, -2, -2, 1]",Ave Maria,[Superius],112,1.0,952.0,32.0,ID,"[28.0, 36.0, 28.0]",1
182,"(2, -2, -2, -2, 1)","[2, -2, -2, -2, 1]",Ave Maria,Tenor,115,3.0,980.0,32.0,ID,"[28.0, 36.0, 28.0]",2
181,"(2, -2, -2, -2, 1)","[2, -2, -2, -2, 1]",Ave Maria,[Superius],120,1.0,1016.0,32.0,ID,"[28.0, 36.0, 28.0]",3
183,"(2, -2, -2, -2, 1)","[2, -2, -2, -2, 1]",Ave Maria,Tenor,123,3.0,1044.0,32.0,ID,"[28.0, 36.0, 28.0]",4
