,pattern,sum_diffs,match_1_piece_title,match_2_piece_title,match_1_part,match_2_part,match_1_start_measure,match_2_start_measure,match_1_end_measure,match_2_end_measure
845,"(2, -2, 2, -3, 2, -3)",1.0,Ave Maria,Ave Maria,Tenor,Bassus,51,50,52,52
847,"(2, -2, 2, -3, 2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Altus,64,66,67,69
850,"(2, -2, 2, -3, 2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,64,67,67,70
853,"(2, -2, 2, -3, 2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Bassus,64,69,67,72
856,"(2, -2, 2, -3, 2, -2)",0.0,Ave Maria,Ave Maria,Altus,Tenor,66,67,69,70
859,"(2, -2, 2, -3, 2, -2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,66,69,69,72
862,"(2, -2, 2, -3, 2, -2)",0.0,Ave Maria,Ave Maria,Tenor,Bassus,49,49,51,51
867,"(2, -2, 2, -3, 2, -2)",1.0,Ave Maria,Ave Maria,Tenor,Bassus,51,50,52,52
871,"(2, -2, 2, -3, 2, -2)",0.0,Ave Maria,Ave Maria,Tenor,Bassus,67,69,70,72
876,"(2, -2, 4, -2, -2, 2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,9,13,11,15
878,"(2, 1, -3, 1, 4, 1)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,99,100,102,103
883,"(2, 1, 2, -2, -2, -2)",1.0,Ave Maria,Ave Maria,[Superius],Altus,40,94,43,95
884,"(2, 1, 2, -2, -2, -2)",1.0,Ave Maria,Ave Maria,[Superius],Altus,40,98,43,99
887,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,40,40,43,43
902,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],[Superius],111,119,114,122
909,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,111,114,114,117
910,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,111,122,114,125
918,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,119,114,122,117
919,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,119,122,122,125
928,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Bassus,32,36,35,39
929,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Altus,94,98,95,99
932,"(2, 1, 2, -2, -2, -2)",1.0,Ave Maria,Ave Maria,Altus,Tenor,94,40,95,43
938,"(2, 1, 2, -2, -2, -2)",1.0,Ave Maria,Ave Maria,Altus,Tenor,98,40,99,43
942,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,Altus,Altus,116,124,117,125
954,"(2, 1, 2, -2, -2, -2)",0.0,Ave Maria,Ave Maria,Tenor,Tenor,114,122,117,125
957,"(2, 1, 2, -2, 1, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,32,36,34,38
958,"(2, 1, 2, 1, -3, 1)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,98,99,101,102
960,"(2, 2, -3, -2, -2, 1)",0.0,Ave Maria,Ave Maria,[Superius],Altus,55,56,58,58
961,"(2, 2, -3, -2, -2, 1)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,55,60,58,63
962,"(2, 2, -3, -2, -2, 1)",0.0,Ave Maria,Ave Maria,[Superius],Bassus,55,61,58,63
963,"(2, 2, -3, -2, -2, 1)",0.0,Ave Maria,Ave Maria,Altus,Tenor,56,60,58,63
964,"(2, 2, -3, -2, -2, 1)",0.0,Ave Maria,Ave Maria,Altus,Bassus,56,61,58,63
965,"(2, 2, -3, -2, -2, 1)",0.0,Ave Maria,Ave Maria,Tenor,Bassus,60,61,63,63
967,"(2, 2, -3, 2, -2, -2)",0.0,Ave Maria,Ave Maria,[Superius],Tenor,78,81,80,83
